account	studentcode	gender	yearofbirth	grade	type
A32249	25159332	女	1986	2014	博士
A32252	48146109	男	1982	2012	硕士
A32267	62060289	女	1994	2011	本科
A32268	75115734	女	1988	2012	硕士
A32270	61111842	女	1990	2013	硕士
A32284	37062540	女	1992	2011	本科
A32332	25102280	男	1992	2011	本科
A32339	43128987	女	1989	2012	硕士
A32380	34066431	男	1996	2014	本科
A32389	88062833	男	1994	2013	本科
A32392	39045667	男	1991	2010	本科
A32403	19160540	男	1981	2012	硕士
A32404	39169397	女	1989	2012	硕士
A32405	22128955	男	1986	2013	博士
A32416	79052110	男	1993	2012	本科
A32420	95065727	女	1997	2014	本科
A32430	94140035	男	1989	2012	硕士
A32461	98009917	女	1995	2013	本科
A32487	41138812	男	1990	2014	硕士
A32488	23127656	男	1990	2014	硕士
A32507	74121610	女	1989	2012	硕士
A32519	18116835	女	1991	2013	博士
A32531	94160459	男	1990	2012	硕士
A32540	86017601	男	1993	2011	本科
A32550	67105273	男	1996	2014	本科
A32570	31124516	女	1991	2014	硕士
A32604	99051090	男	1998	2013	本科
A32610	22115742	男	1989	2012	硕士
A32617	44169692	女	1990	2014	硕士
A32620	47134306	女	1989	2012	硕士
A32627	89177431	女	1988	2012	硕士
A32632	32016210	男	1992	2010	本科
A32633	51183185	男	1988	2012	硕士
A32668	78057414	男	1994	2012	本科
A32703	94088147	女	1995	2013	本科
A32742	18158194	男	1990	2011	硕士
A32761	67160763	男	1991	2012	硕士
A32762	29160931	女	1990	2012	硕士
A32784	69173428	男	1989	2013	硕士
A32785	72168298	男	1990	2013	硕士
A32787	16118949	女	1986	2008	博士
A32794	79064442	女	1992	2011	本科
A32806	31144791	男	1986	2014	硕士
A32807	74057056	男	1996	2014	本科
A32859	63057121	女	1991	2009	本科
A32862	58179320	男	1975	2012	博士
A32868	31181531	男	1992	2014	硕士
A32873	14148495	女	1991	2013	硕士
A32874	65171110	女	1991	2014	硕士
A32882	73158087	男	1991	2013	博士
A32890	71166767	女	1991	2014	硕士
A32899	65158795	男	1991	2014	硕士
A32968	23090984	女	1995	2013	本科
A32985	59131069	男	1988	2014	博士
A32993	97160324	女	1989	2011	博士
A33012	85080763	男	1995	2013	本科
A33034	52139844	男	1987	2014	博士
A33042	95100349	男	1996	2014	本科
A33060	67082602	男	1993	2011	本科
A33061	77161132	女	1992	2012	硕士
A33066	13165176	男	1987	2010	博士
A33073	92177275	男	1991	2013	硕士
A33117	78114181	男	1981	2012	硕士
A33123	75172166	男	1990	2012	硕士
A33142	62193350	男	1987	2014	硕士
A33143	26178911	女	1991	2014	硕士
A33186	89106352	男	1992	2011	本科
A33222	28080596	男	1994	2013	本科
A33234	19139947	男	1991	2014	硕士
A33290	68047643	女	1995	2012	本科
A33342	52065131	男	1995	2013	本科
A33357	46137947	女	1988	2013	硕士
A33363	41161189	女	1990	2012	硕士
A33422	94056749	男	1994	2012	本科
A33444	92176777	女	1990	2012	硕士
A33452	35060383	男	1996	2013	本科
A33453	11165944	女	1990	2014	博士
A33484	91060657	男	1992	2013	本科
A33510	61109378	男	1987	2013	博士
A33519	73171025	男	1987	2011	博士
A33536	84050079	男	1996	2014	本科
A33561	91132540	男	1987	2012	硕士
A33617	13123046	男	1990	2012	硕士
A33619	92057011	女	1993	2012	本科
A33628	92161316	女	1989	2012	硕士
A33630	46002645	男	1994	2012	本科
A33651	83060799	女	1995	2013	本科
A33655	59169435	女	1991	2014	硕士
A33661	98181561	女	1990	2012	硕士
A33662	73051045	女	1994	2012	本科
A33679	81175443	男	1986	2009	博士
A33682	48066265	女	1992	2012	本科
A33690	72175470	男	1989	2012	硕士
A33697	88148567	女	1990	2013	硕士
A33710	23053896	女	1994	2012	本科
A33744	51122115	女	1986	2010	博士
A33780	16023935	男	1996	2014	本科
A33788	68110353	男	1989	2014	博士
A33801	83031225	女	1994	2011	本科
A33815	79067311	女	1994	2012	本科
A33835	24139292	男	1991	2013	硕士
A33844	95133748	男	1989	2014	硕士
A33845	47055509	男	1996	2014	本科
A33869	19023395	男	1994	2012	本科
A33949	32067499	男	1994	2013	本科
A33956	48055836	男	1994	2012	本科
A33957	51102049	男	1995	2013	本科
A33964	91051429	男	1991	2010	本科
A33965	64178405	男	1986	2011	博士
A33969	79163330	男	1984	2009	博士
A33996	26069335	女	1992	2010	本科
A34023	21021042	男	1995	2014	本科
A34027	21178210	男	1988	2013	博士
A34058	31083322	男	1993	2011	本科
A34067	65160968	男	1989	2012	硕士
A34076	66141152	女	1983	2009	博士
A34096	31131202	男	1985	2013	硕士
A34098	32135431	女	1990	2014	硕士
A34103	54112381	女	1989	2014	硕士
A34137	29141100	女	1989	2013	硕士
A34139	47159051	女	1991	2014	硕士
A34158	99180808	男	1984	2012	博士
A34164	82176924	女	1990	2014	硕士
A34194	52054874	女	1993	2013	本科
A34195	15148547	男	1991	2013	硕士
A34205	75107166	男	1996	2014	本科
A34209	96051958	男	1992	2011	本科
A34211	81135449	男	1980	2014	硕士
A34226	86161100	男	1990	2012	硕士
A34246	16180269	女	1988	2014	博士
A34265	84164600	男	1981	2010	博士
A34269	12167125	男	1991	2013	硕士
A34291	65113742	男	1992	2014	博士
A34307	61110623	女	1985	2011	硕士
A34310	41057774	女	1996	2014	本科
A34313	15059778	女	1994	2013	本科
A34326	45180718	女	1988	2011	硕士
A34329	67161149	男	1990	2012	硕士
A34350	46143779	男	1980	2012	博士
A34352	98057797	女	1995	2014	本科
A34370	18188051	男	1983	2012	硕士
A34375	94181306	男	1991	2014	硕士
A34407	73090861	男	1994	2012	本科
A34424	21140055	男	1991	2012	硕士
A34425	93058968	男	1994	2012	本科
A34442	98067760	男	1994	2012	本科
A34474	51095583	女	1992	2011	本科
A34475	92125684	女	1981	2012	硕士
A34478	36142676	男	1991	2013	硕士
A34484	79159066	男	1990	2014	硕士
A34510	16169126	男	1992	2014	硕士
A34525	31130145	女	1991	2014	硕士
A34532	16056848	男	1995	2013	本科
A34555	21160813	男	1990	2012	硕士
A34585	75020242	女	1995	2013	本科
A34597	97160602	男	1990	2012	硕士
A34610	55063561	女	1993	2012	本科
A34618	31054067	男	1995	2014	本科
A34633	76158810	男	1991	2014	硕士
A34639	99062152	男	1994	2012	本科
A34650	27055971	男	1994	2013	本科
A34663	12161374	女	1987	2012	硕士
A34671	42171638	男	1989	2012	硕士
A34686	72179695	男	1985	2012	博士
A34696	16161029	女	1989	2012	硕士
A34697	69059040	男	1994	2012	本科
A34698	44148102	男	1988	2013	博士
A34723	61194006	女	1979	2014	硕士
A34728	92131505	女	1989	2009	博士
A34737	42109332	男	1990	2012	硕士
A34741	36137929	女	1990	2013	硕士
A34754	91118260	男	1990	2012	博士
A34767	94158850	男	1993	2014	硕士
A34796	96164651	男	1983	2013	博士
A34809	97171871	女	1989	2012	博士
A34822	95171260	男	1987	2013	硕士
A34833	79164668	男	1984	2012	博士
A34839	84160962	女	1991	2012	硕士
A34859	85130974	女	1988	2012	硕士
A34863	25165299	女	1991	2013	博士
A34887	83148309	女	1990	2013	硕士
A34889	98065188	男	1991	2013	本科
A34909	83161115	男	1991	2012	硕士
A34914	34051850	男	1992	2011	本科
A34943	68140020	男	1990	2012	硕士
A34964	21057481	男	1994	2013	本科
A34970	23120249	男	1985	2013	硕士
A34977	74163986	女	1988	2014	硕士
A34994	98120824	男	1987	2013	硕士
A35009	84129435	女	1989	2012	硕士
A35012	54058678	男	1995	2014	本科
A35024	48134499	男	1987	2013	硕士
A35025	36058270	女	1995	2013	本科
A35027	55047517	女	1994	2014	本科
A35048	14161049	女	1989	2012	硕士
A35056	36067385	女	1994	2012	本科
A35069	32027848	男	1991	2011	本科
A35086	36097897	男	1992	2011	本科
A35089	82082129	女	1996	2014	本科
A35124	38194347	男	1984	2014	硕士
A35127	18167146	男	1991	2013	硕士
A35181	27065364	男	1994	2012	本科
A35191	15111090	男	1984	2013	硕士
A35200	56109620	女	1994	2013	硕士
A35217	34045978	女	1992	2011	本科
A35232	33121051	男	1977	2010	博士
A35240	22170251	男	1990	2013	硕士
A35281	19025923	男	1995	2013	本科
A35322	35032981	男	1992	2010	本科
A35324	86135738	女	1991	2013	硕士
A35326	87139948	女	1991	2014	硕士
A35345	38183023	男	1991	2014	硕士
A35356	94161239	男	1991	2012	硕士
A35363	36120789	女	1989	2012	硕士
A35413	43090302	男	1992	2011	本科
A35417	58050903	男	1994	2012	本科
A35419	82115149	男	1984	2013	硕士
A35423	43049063	女	1994	2013	本科
A35433	71057969	男	1993	2011	本科
A35453	96067828	男	1995	2013	本科
A35458	34115795	女	1990	2012	硕士
A35469	12179548	男	1992	2010	本科
A35470	52110570	男	1988	2011	硕士
A35476	67080752	女	1992	2010	本科
A35479	61120270	男	1989	2013	硕士
A35480	92172509	男	1989	2012	博士
A35511	49140456	男	1988	2011	硕士
A35522	89050814	女	1996	2014	本科
A35559	96025972	男	1996	2014	本科
A35563	42104516	男	1994	2012	本科
A35580	45138712	男	1990	2013	硕士
A35583	19025416	男	1995	2013	本科
A35592	19173322	女	1990	2012	博士
A35593	65052305	女	1996	2014	本科
A35655	14173774	男	1986	2012	硕士
A35670	77046161	男	1996	2013	本科
A35674	66067286	男	1994	2014	本科
A35688	54047531	男	1994	2013	本科
A35701	33177885	男	1990	2014	硕士
A35705	77050239	男	1997	2014	本科
A35716	69160475	女	1990	2012	硕士
A35726	71054334	男	1995	2013	本科
A35737	84148920	男	1991	2013	硕士
A35771	21109320	男	1989	2014	硕士
A35793	18131812	女	1990	2012	硕士
A35805	46148694	男	1989	2013	硕士
A35809	59017624	女	1991	2010	本科
A35811	44121901	男	1989	2012	硕士
A35841	51127599	男	1990	2014	博士
A35852	94130352	男	1991	2013	硕士
A35868	55058456	男	1995	2013	本科
A35878	88052474	男	1993	2011	本科
A35894	16025970	男	1992	2010	本科
A35919	18139980	女	1988	2009	博士
A35948	34174144	男	1990	2012	硕士
A35969	18065438	男	1995	2013	本科
A35981	83126396	男	1989	2012	硕士
A36004	38053860	男	1994	2013	本科
A36005	92178908	男	1992	2014	硕士
A36034	65176992	男	1980	2012	博士
A36039	55159204	男	1984	2008	博士
A36071	57107976	女	1994	2013	本科
A36096	49103273	男	1995	2013	本科
A36111	25062890	女	1995	2012	本科
A36127	35064790	男	1992	2011	本科
A36128	59058410	女	1994	2011	本科
A36151	92021508	女	1995	2013	本科
A36191	36069720	女	1993	2011	本科
A36228	58133429	女	1991	2013	博士
A36230	26062594	女	1994	2013	本科
A36242	43106975	男	1994	2013	本科
A36288	97003733	男	1996	2014	本科
A36310	67140671	女	1985	2012	博士
A36375	32148434	女	1991	2013	硕士
A36378	46119431	女	1989	2012	硕士
A36397	99050519	女	1995	2013	本科
A36402	37130209	男	1990	2013	硕士
A36403	48183100	女	1989	2012	博士
A36421	15145382	男	1989	2013	硕士
A36452	58059906	女	1995	2013	本科
A36461	53165413	女	1990	2013	硕士
A36516	91072543	男	1993	2011	本科
