年月日时分	站点名称	气温	降水	瞬时风向	瞬时风速	瞬时能见度	相对湿度	瞬时气压	一小时最高气温	一小时最低气温	一小时最大风速	一小时最大风速时风向
201408180310	交大	22.5	0	274	0.8	////	////	////	22.5	22.5	1.7	288
201408180320	交大	22.5	0	271	0.8	////	////	////	22.5	22.5	1.8	271
201408180330	交大	22.5	0	282	1	////	////	////	22.5	22.5	1.8	271
201408180340	交大	22.5	0	265	2.1	////	////	////	22.5	22.5	2.1	268
201408180350	交大	22.5	0	296	1.3	////	////	////	22.5	22.5	2.1	268
201408180400	交大	22.5	0	277	1.9	////	////	////	22.5	22.5	2.1	268
201408180410	交大	22.5	0	293	2.4	////	////	////	22.5	22.5	2.4	279
201408180420	交大	22.5	0	277	2.2	////	////	////	22.5	22.5	3.2	282
201408180430	交大	22.5	0	285	2.1	////	////	////	22.5	22.5	3.4	285
201408180440	交大	22.5	0	263	1.3	////	////	////	22.5	22.5	3.4	291
201408180450	交大	22.4	0	308	1.5	////	////	////	22.5	22.4	3.4	291
201408180500	交大	22.4	0	282	0.6	////	////	////	22.5	22.4	3.4	291
201408180510	交大	22.4	0	285	1.5	////	////	////	22.4	22.4	3.2	333
201408180530	交大	22.5	0.1	330	1.3	////	////	////	22.5	22.4	3.2	333
201408180600	交大	22.6	0.1	299	1	////	////	////	22.6	22.4	3.2	333
201408180610	交大	22.7	0	257	0.8	////	////	////	22.7	22.6	2.3	277
201408180620	交大	22.7	0	313	1.3	////	////	////	22.7	22.6	2.3	282
201408180630	交大	22.8	0	310	1.4	////	////	////	22.8	22.6	2.3	282
201408180640	交大	22.8	0	310	1.3	////	////	////	22.8	22.6	2.5	288
201408180650	交大	22.8	0.2	322	1.2	////	////	////	22.9	22.6	2.6	293
201408180700	交大	23	0.2	254	1.2	////	////	////	23	22.6	2.6	293
201408180710	交大	23	0	265	0.9	////	////	////	23	23	2.3	268
201408180720	交大	23.1	0	296	1.5	////	////	////	23.1	23	2.5	293
201408180730	交大	23.3	0	302	2.6	////	////	////	23.3	23	2.9	302
201408180740	交大	23.5	0	308	1.7	////	////	////	23.5	23	3.9	299
201408180750	交大	23.5	0	308	2.6	////	////	////	23.5	23	3.9	299
201408180800	交大	23.7	0	322	1.5	////	////	////	23.8	23	3.9	299
201408180810	交大	23.9	0	330	1.8	////	////	////	23.9	23.8	3.1	338
201408180820	交大	23.9	0	293	1.3	////	////	////	23.9	23.8	3.3	313
201408180830	交大	24	0	296	2.3	////	////	////	24	23.8	3.6	308
201408180840	交大	24.1	0	322	1.3	////	////	////	24.1	23.8	3.6	308
201408180850	交大	24.2	0.1	310	0.9	////	////	////	24.2	23.8	4	327
201408180900	交大	24.3	0.1	319	2.7	////	////	////	24.3	23.8	4	327
201408180910	交大	24.2	0	308	0.9	////	////	////	24.2	24.2	3.6	277
201408180920	交大	24.3	0	347	1.5	////	////	////	24.3	24.2	3.6	277
201408180930	交大	24.3	0	299	2.3	////	////	////	24.3	24.2	3.6	277
201408180940	交大	24.3	0	305	2.1	////	////	////	24.3	24.2	3.6	277
201408181000	交大	24.7	0	254	0	////	////	////	24.7	24.2	3.6	277
201408181010	交大	25	0	299	1	////	////	////	25	24.8	1.6	310
201408181020	交大	25	0	49	0	////	////	////	25.1	24.8	1.8	29
201408181030	交大	24.9	0	310	1.4	////	////	////	25.1	24.8	2.5	296
201408181040	交大	24.9	0	293	0.9	////	////	////	25.1	24.8	2.5	296
201408181050	交大	24.8	0	246	1.2	////	////	////	25.1	24.8	2.8	302
201408181100	交大	24.9	0	296	2	////	////	////	25.1	24.8	2.8	302
201408181110	交大	24.8	0	296	2.1	////	////	////	24.9	24.8	2.8	299
201408181120	交大	24.9	0	293	1.4	////	////	////	24.9	24.8	2.8	299
201408181130	交大	25.2	0	305	1.5	////	////	////	25.2	24.8	3.8	310
201408181140	交大	25.2	0	336	2	////	////	////	25.2	24.8	3.9	288
201408181150	交大	25.2	0	299	1.5	////	////	////	25.2	24.8	3.9	288
201408181200	交大	25.1	0	263	1.5	////	////	////	25.2	24.8	3.9	288
201408181210	交大	25	0.1	291	1.6	////	////	////	25.1	25	2.3	333
201408181220	交大	24.8	0.1	330	1.4	////	////	////	25.1	24.8	2.5	302
201408181230	交大	24.6	0.2	310	3.1	////	////	////	25.1	24.6	3.5	313
201408181240	交大	24.4	0.2	324	1.3	////	////	////	25.1	24.4	3.5	313
201408181300	交大	24.5	0.2	344	1	////	////	////	25.1	24.4	3.5	313
201408181320	交大	24.6	0	310	1.8	////	////	////	24.6	24.5	3.2	305
201408181330	交大	24.5	0.1	310	1.9	////	////	////	24.6	24.5	3.5	271
201408181340	交大	24.4	0.2	293	1	////	////	////	24.6	24.4	3.5	271
201408181350	交大	24.5	0.3	299	0.8	////	////	////	24.6	24.4	3.5	271
201408181400	交大	24.5	0.6	246	0.3	////	////	////	24.6	24.4	3.5	271
201408181410	交大	24.3	0.2	293	0.8	////	////	////	24.5	24.3	1.8	293
201408181420	交大	24.2	0.2	296	0	////	////	////	24.5	24.2	1.8	293
201408181430	交大	24.2	0.3	285	0	////	////	////	24.5	24.2	1.8	293
201408181440	交大	24.1	0.4	291	1	////	////	////	24.5	24.1	1.8	293
201408181450	交大	24.1	0.6	282	2.2	////	////	////	24.5	24.1	2.4	288
201408181500	交大	23.9	1.2	282	1.6	////	////	////	24.5	23.9	2.4	288
201408181510	交大	23.8	0.2	302	1.6	////	////	////	23.9	23.8	2.1	291
201408181520	交大	23.9	1.2	322	1	////	////	////	23.9	23.8	2.4	288
201408181530	交大	23.9	2.2	319	0.8	////	////	////	23.9	23.8	2.4	288
201408181540	交大	23.9	2.8	333	0	////	////	////	23.9	23.8	2.4	288
201408181550	交大	23.7	3.6	26	0.9	////	////	////	23.9	23.7	2.4	288
201408181600	交大	23.7	4.2	4	0	////	////	////	23.9	23.7	2.4	288
201408181610	交大	23.7	1.1	347	0	////	////	////	23.7	23.7	1.9	322
201408181620	交大	23.7	1.5	353	1	////	////	////	23.7	23.7	1.9	322
201408181630	交大	23.7	2.1	23	1.1	////	////	////	23.7	23.7	1.9	322
201408181640	交大	23.6	2.5	350	1.3	////	////	////	23.7	23.6	2.4	35
201408181650	交大	23.5	3.1	38	0.8	////	////	////	23.7	23.5	2.4	35
201408181700	交大	23.4	3.7	251	0	////	////	////	23.7	23.4	2.4	35
201408181710	交大	23.4	0.4	282	0.6	////	////	////	23.4	23.4	1	288
201408181720	交大	23.3	1.2	308	0	////	////	////	23.4	23.3	1.2	333
201408181730	交大	23.3	2.4	355	0.8	////	////	////	23.4	23.2	1.2	344
201408181740	交大	23.2	3.5	74	0	////	////	////	23.4	23.2	1.2	344
201408181750	交大	23.2	4	240	0	////	////	////	23.4	23.2	1.2	344
201408181800	交大	23.2	4.3	268	0	////	////	////	23.4	23.2	1.2	344
201408181810	交大	23.2	0.8	254	0	////	////	////	23.2	23.2	0	254
201408181820	交大	23.1	1.4	277	0	////	////	////	23.2	23.1	0	277
201408181830	交大	23.1	2.1	347	0	////	////	////	23.2	23.1	0	347
201408181840	交大	23.1	2.3	327	1.1	////	////	////	23.2	23.1	1.4	305
201408181900	交大	23	2.6	293	1.1	////	////	////	23.2	23	2.1	288
201408181910	交大	23	0.2	310	0.8	////	////	////	23	23	1.9	308
201408181920	交大	23	0.5	333	1.1	////	////	////	23	23	2.1	302
201408181930	交大	23	0.6	277	0.9	////	////	////	23	23	2.1	302
201408181940	交大	23	0.7	277	1.2	////	////	////	23	23	2.1	302
201408182000	交大	22.9	1.1	265	0.8	////	////	////	23	22.9	2.1	302
201408182010	交大	22.9	0.2	296	0.5	////	////	////	22.9	22.9	1.1	296
201408182020	交大	22.9	0.5	299	0.8	////	////	////	22.9	22.9	1.3	299
201408182030	交大	22.9	0.9	277	0.6	////	////	////	22.9	22.9	1.9	299
201408182040	交大	22.9	1.5	299	1.2	////	////	////	22.9	22.9	2.1	302
201408182050	交大	23	2.1	254	0.8	////	////	////	23	22.9	2.1	302
201408182100	交大	23	3.7	308	0.2	////	////	////	23	22.9	2.1	302
201408182110	交大	23	2.1	274	0.8	////	////	////	23	22.9	1.7	277
201408182120	交大	22.9	3.6	279	0.9	////	////	////	23	22.9	1.9	265
201408182130	交大	22.9	5.1	279	1	////	////	////	23	22.9	1.9	265
201408182140	交大	22.9	5.9	322	0	////	////	////	23	22.9	1.9	265
201408182150	交大	22.9	6.6	333	0	////	////	////	23	22.9	1.9	265
201408182200	交大	22.9	6.9	274	0	////	////	////	23	22.9	1.9	265
201408182210	交大	22.9	0.1	29	0	////	////	////	22.9	22.9	0	29
201408182220	交大	22.9	0.2	353	0.8	////	////	////	22.9	22.9	1	288
201408182230	交大	22.9	0.3	29	0.5	////	////	////	23	22.9	1.9	344
201408182240	交大	22.8	0.5	29	1	////	////	////	23	22.8	1.9	344
201408182250	交大	22.7	0.6	285	0.6	////	////	////	23	22.7	1.9	344
201408182300	交大	22.7	0.8	43	1	////	////	////	23	22.7	1.9	344
201408182310	交大	22.7	0.1	83	0.8	////	////	////	22.7	22.7	1.9	57
201408182320	交大	22.7	0.2	29	0.8	////	////	////	22.7	22.7	1.9	77
201408182330	交大	22.7	0.3	265	0	////	////	////	22.7	22.7	1.9	77
201408182340	交大	22.7	0.4	353	0	////	////	////	22.7	22.7	1.9	77
201408182350	交大	22.7	0.4	330	0.2	////	////	////	22.7	22.7	1.9	77
201408190000	交大	22.7	0.4	29	0.4	////	////	////	22.7	22.7	1.9	77
201408190010	交大	22.7	0.1	299	0.8	////	////	////	22.7	22.7	1.3	15
201408190020	交大	22.7	0.1	285	0.7	////	////	////	22.7	22.7	1.3	15
201408190030	交大	22.7	0.1	327	1.1	////	////	////	22.7	22.7	1.5	282
201408190040	交大	22.7	0.2	296	1.1	////	////	////	22.7	22.7	1.5	282
201408190050	交大	22.7	0.2	299	0.9	////	////	////	22.7	22.7	1.6	310
201408190100	交大	22.7	0.3	305	1.5	////	////	////	22.7	22.7	2.1	302
201408190110	交大	22.6	0	285	0.4	////	////	////	22.7	22.6	2.6	302
201408190130	交大	22.4	0.2	313	0.8	////	////	////	22.7	22.4	2.7	330
201408190140	交大	22.3	0.3	341	0.8	////	////	////	22.7	22.3	2.7	319
201408190150	交大	22.2	0.4	347	0.9	////	////	////	22.7	22.2	2.7	319
201408190200	交大	22.2	0.4	293	0.5	////	////	////	22.7	22.2	2.7	319
201408190210	交大	22.2	0.1	333	1.3	////	////	////	22.2	22.2	2.1	299
201408190220	交大	22.2	0.1	299	0.8	////	////	////	22.2	22.2	2.1	299
201408190230	交大	22.2	0.3	310	0.8	////	////	////	22.2	22.2	2.6	299
201408190240	交大	22.2	0.6	327	0.4	////	////	////	22.3	22.2	2.6	299
201408190250	交大	22.2	0.7	353	1	////	////	////	22.3	22.2	2.6	299
201408190300	交大	22.2	0.8	38	2.6	////	////	////	22.3	22.2	2.6	38
201408190310	交大	22.1	0.1	29	1.3	////	////	////	22.2	22.1	3.9	29
201408190320	交大	22.1	0.2	38	0.8	////	////	////	22.2	22.1	3.9	29
201408190330	交大	21.9	0.3	310	0.8	////	////	////	22.2	21.9	3.9	29
201408190340	交大	21.9	0.4	18	2.5	////	////	////	22.2	21.9	3.9	29
201408190350	交大	21.8	0.5	15	1.9	////	////	////	22.2	21.8	3.9	29
201408190400	交大	21.8	0.5	60	0.8	////	////	////	22.2	21.8	3.9	29
201408190410	交大	21.8	0	347	0.7	////	////	////	21.8	21.8	2.7	353
201408190420	交大	21.8	0.1	274	0.4	////	////	////	21.8	21.8	2.7	341
201408190430	交大	21.8	0.1	18	2.3	////	////	////	21.8	21.8	2.9	4
201408190440	交大	21.8	0.2	9	0.5	////	////	////	21.9	21.8	2.9	4
201408190450	交大	21.8	0.4	4	1.5	////	////	////	21.9	21.8	3.8	355
201408190500	交大	21.7	0.5	336	2	////	////	////	21.9	21.7	4	29
201408190510	交大	21.7	0.3	12	1.2	////	////	////	21.7	21.7	3.9	26
201408190520	交大	21.7	0.6	322	0.5	////	////	////	21.7	21.7	3.9	26
201408190530	交大	21.6	0.7	15	2	////	////	////	21.7	21.6	3.9	26
201408190540	交大	21.6	0.7	319	0.6	////	////	////	21.7	21.6	4.2	21
201408190550	交大	21.7	0.8	68	1	////	////	////	21.7	21.6	4.2	21
201408190600	交大	21.7	0.9	330	0.2	////	////	////	21.7	21.6	4.2	21
201408190610	交大	21.7	0	274	0.8	////	////	////	21.7	21.7	1.2	49
201408190620	交大	21.8	0	12	0.6	////	////	////	21.8	21.7	1.6	21
201408190630	交大	21.9	0.1	347	0.6	////	////	////	21.9	21.7	1.6	21
201408190640	交大	21.9	0.1	40	0.8	////	////	////	21.9	21.7	2.3	29
201408190650	交大	21.9	0.1	355	1.6	////	////	////	22	21.7	2.3	29
201408190700	交大	22	0.1	330	0.8	////	////	////	22	21.7	2.3	29
201408190710	交大	22	0	355	1	////	////	////	22	22	1.9	15
201408190720	交大	22	0	38	0	////	////	////	22	22	1.9	23
201408190730	交大	22	0	29	2.5	////	////	////	22.1	22	3	23
201408190740	交大	22	0	305	0.4	////	////	////	22.1	22	3.3	38
201408190750	交大	22	0	333	0.6	////	////	////	22.1	22	3.5	52
201408190800	交大	21.8	0	4	2.2	////	////	////	22.1	21.8	3.5	52
201408190810	交大	21.8	0.1	7	2.8	////	////	////	21.8	21.8	3	7
201408190820	交大	21.9	0.6	38	0.1	////	////	////	21.9	21.8	3	7
201408190830	交大	22.2	1.2	336	0.3	////	////	////	22.2	21.8	3	7
201408190840	交大	22.1	1.9	46	0.5	////	////	////	22.2	21.8	3	7
201408190850	交大	22	3	308	0.5	////	////	////	22.2	21.8	3	7
201408190900	交大	22	4	299	1.3	////	////	////	22.2	21.8	3	7
201408190910	交大	21.9	0.8	341	0.8	////	////	////	22	21.9	2.5	305
201408190920	交大	21.9	1.5	302	0.9	////	////	////	22	21.7	2.5	305
201408190930	交大	21.9	2.4	308	1.6	////	////	////	22	21.7	2.5	305
201408190940	交大	21.9	3.2	322	1.6	////	////	////	22	21.7	2.5	305
201408190950	交大	22.1	3.8	333	0.8	////	////	////	22.1	21.7	2.5	305
201408191000	交大	22.2	4.1	338	1	////	////	////	22.2	21.7	2.5	305
201408191010	交大	22.3	0.2	299	0.8	////	////	////	22.3	22.1	1.3	319
201408191020	交大	22.5	0.4	285	0	////	////	////	22.5	22.1	1.4	358
201408191030	交大	22.6	0.6	18	0	////	////	////	22.6	22.1	1.4	358
201408191040	交大	22.5	0.7	333	1	////	////	////	22.7	22.1	2.5	327
201408191050	交大	22.7	0.7	26	1.5	////	////	////	22.7	22.1	2.5	327
201408191100	交大	22.6	0.8	38	3.1	////	////	////	22.7	22.1	3.6	35
201408191110	交大	22.7	0	9	1.7	////	////	////	22.7	22.6	4.1	38
201408191120	交大	23	0.1	57	0.6	////	////	////	23	22.6	4.1	38
201408191130	交大	23.1	0.2	12	0.4	////	////	////	23.2	22.6	4.3	26
201408191140	交大	23.1	0.2	26	1.6	////	////	////	23.3	22.6	4.3	26
201408191150	交大	23.1	0.2	26	1.7	////	////	////	23.3	22.6	4.5	38
201408191200	交大	23.5	0.2	102	1.3	////	////	////	23.5	22.6	4.5	38
201408191210	交大	23.7	0	52	1.9	////	////	////	23.7	23.6	2.9	52
201408191220	交大	23.9	0.1	77	1.6	////	////	////	23.9	23.6	3.1	29
201408191230	交大	23.8	0.1	49	0.7	////	////	////	23.9	23.6	3.2	60
201408191240	交大	23.7	0.1	74	0.6	////	////	////	23.9	23.6	3.2	60
201408191250	交大	23.7	0.1	52	0.6	////	////	////	23.9	23.6	3.2	60
201408191300	交大	23.6	0.1	54	1.1	////	////	////	23.9	23.6	3.2	60
201408191320	交大	23.6	0.1	12	0	////	////	////	23.6	23.5	1.8	113
201408191330	交大	23.4	0.1	29	0.5	////	////	////	23.6	23.4	1.8	113
201408191340	交大	23.3	0.2	29	0	////	////	////	23.6	23.3	1.8	113
201408191350	交大	23.4	0.3	291	0	////	////	////	23.6	23.3	1.8	113
201408191400	交大	23.4	0.5	313	1	////	////	////	23.6	23.3	1.8	113
201408191410	交大	23.5	0.3	15	0.6	////	////	////	23.5	23.4	1.3	46
201408191420	交大	23.5	0.5	23	0.8	////	////	////	23.6	23.4	1.5	43
201408191430	交大	23.5	0.6	26	0.3	////	////	////	23.6	23.4	1.5	43
201408191440	交大	23.5	0.7	60	1.3	////	////	////	23.6	23.4	1.5	57
201408191450	交大	23.4	0.8	327	0	////	////	////	23.6	23.4	1.5	57
201408191500	交大	23.4	0.8	330	0	////	////	////	23.6	23.4	1.5	57
201408191510	交大	23.3	0.1	324	0	////	////	////	23.4	23.3	0	324
201408191520	交大	23.4	0.2	333	0	////	////	////	23.4	23.3	0	333
201408191530	交大	23.4	0.2	130	0	////	////	////	23.4	23.3	0	130
201408191540	交大	23.3	0.4	97	0	////	////	////	23.4	23.3	0	97
201408191550	交大	23.3	0.5	144	0	////	////	////	23.4	23.3	0	144
201408191600	交大	23.3	0.7	102	0.9	////	////	////	23.4	23.3	1.5	91
201408191610	交大	23.2	0.2	88	1.3	////	////	////	23.3	23.2	1.8	91
201408191620	交大	23.2	0.6	77	0.7	////	////	////	23.3	23.2	1.8	91
201408191630	交大	23.1	0.9	105	0.3	////	////	////	23.3	23.1	1.9	113
201408191640	交大	23.1	1	105	0.8	////	////	////	23.3	23.1	2.7	108
201408191700	交大	22.7	1.1	74	0.2	////	////	////	23.3	22.7	2.7	108
201408191740	交大	22.7	0.1	122	0	////	////	////	22.7	22.6	1.3	60
201408191750	交大	22.7	0.2	74	0.3	////	////	////	22.7	22.6	1.3	60
201408191800	交大	22.7	0.2	288	0.1	////	////	////	22.7	22.6	1.3	60
201408191810	交大	22.7	0	322	0	////	////	////	22.7	22.7	0.3	263
201408191820	交大	22.7	0	263	0	////	////	////	22.7	22.7	0.3	263
201408191830	交大	22.8	0	150	0.8	////	////	////	22.8	22.7	1	158
201408191840	交大	22.8	0	142	0	////	////	////	22.8	22.7	1	158
201408191850	交大	22.7	0	263	0	////	////	////	22.8	22.7	1	158
201408191900	交大	22.7	0.1	122	0	////	////	////	22.8	22.7	1	158
201408191910	交大	22.7	0.2	212	0	////	////	////	22.7	22.7	0	212
201408191920	交大	22.7	0.2	310	0	////	////	////	22.7	22.7	0	310
201408191930	交大	22.7	0.2	203	0	////	////	////	22.7	22.7	0	203
201408191950	交大	22.6	0.2	1	0	////	////	////	22.7	22.6	1.9	150
201408192000	交大	22.6	0.2	102	0.7	////	////	////	22.7	22.6	1.9	150
201408192010	交大	22.6	0	99	0.9	////	////	////	22.6	22.6	1.1	91
201408192020	交大	22.5	0	136	1.3	////	////	////	22.6	22.5	1.6	122
201408192030	交大	22.5	0.1	32	0	////	////	////	22.6	22.5	1.6	122
201408192040	交大	22.5	0.1	77	0	////	////	////	22.6	22.5	1.6	122
201408192050	交大	22.5	0.1	29	0.8	////	////	////	22.6	22.5	1.6	122
201408192100	交大	22.5	0.1	308	1	////	////	////	22.6	22.5	1.6	122
201408192110	交大	22.5	0	327	0	////	////	////	22.5	22.5	1.4	316
201408192120	交大	22.6	0	91	0	////	////	////	22.6	22.5	1.4	316
201408192130	交大	22.5	0	99	0	////	////	////	22.6	22.5	1.4	316
201408192140	交大	22.5	0	133	1.3	////	////	////	22.6	22.5	1.4	133
201408192150	交大	22.5	0	150	0.6	////	////	////	22.6	22.5	2.6	128
201408192200	交大	22.5	0	66	0	////	////	////	22.6	22.5	2.6	128
201408192210	交大	22.4	0	88	0.8	////	////	////	22.5	22.4	1.3	54
201408192220	交大	22.4	0	21	0	////	////	////	22.5	22.4	1.3	54
201408192230	交大	22.5	0	291	0	////	////	////	22.5	22.4	1.3	54
201408192240	交大	22.6	0	322	0	////	////	////	22.6	22.4	1.3	54
201408192250	交大	22.6	0	153	0	////	////	////	22.6	22.4	1.3	54
201408192300	交大	22.7	0	136	0.3	////	////	////	22.7	22.4	1.3	54
201408192310	交大	22.7	0	133	0.8	////	////	////	22.7	22.7	1.3	136
201408192320	交大	22.7	0	139	0.5	////	////	////	22.7	22.7	1.3	147
201408192330	交大	22.7	0	130	1.1	////	////	////	22.7	22.7	1.6	130
201408192340	交大	22.6	0	173	0.4	////	////	////	22.7	22.6	1.6	130
201408192350	交大	22.6	0	144	0.8	////	////	////	22.7	22.6	1.6	130
201408200000	交大	22.6	0	91	1	////	////	////	22.7	22.6	1.6	130
201408200010	交大	22.5	0	91	0	////	////	////	22.6	22.5	1.3	97
201408200020	交大	22.5	0	128	0	////	////	////	22.6	22.5	1.3	97
201408200030	交大	22.5	0	108	0	////	////	////	22.6	22.5	1.3	97
201408200040	交大	22.5	0	71	0	////	////	////	22.6	22.5	1.3	97
201408200050	交大	22.4	0	113	0	////	////	////	22.6	22.4	1.3	97
201408200100	交大	22.4	0	80	0	////	////	////	22.6	22.4	1.3	97
201408200110	交大	22.4	0	108	0	////	////	////	22.4	22.4	0	108
201408200120	交大	22.3	0	83	0	////	////	////	22.4	22.3	0	83
201408200130	交大	22.3	0	105	0	////	////	////	22.4	22.3	0	105
201408200140	交大	22.3	0	74	0	////	////	////	22.4	22.3	0	74
201408200150	交大	22.3	0	74	0	////	////	////	22.4	22.3	0	74
201408200200	交大	22.3	0	83	0	////	////	////	22.4	22.3	0	83
201408200210	交大	22.3	0	128	0	////	////	////	22.3	22.2	0	128
201408200220	交大	22.2	0	66	0	////	////	////	22.3	22.2	0	66
201408200230	交大	22.2	0	40	0	////	////	////	22.3	22.2	0	40
201408200240	交大	22.3	0	18	0	////	////	////	22.3	22.2	0	18
201408200250	交大	22.3	0	32	0	////	////	////	22.3	22.2	0	32
201408200300	交大	22.3	0	60	0	////	////	////	22.3	22.2	0	60
201408200310	交大	22.4	0	43	0	////	////	////	22.4	22.3	0	43
201408200320	交大	22.3	0	102	0	////	////	////	22.4	22.3	0	102
201408200330	交大	22.3	0	71	0	////	////	////	22.4	22.3	0	71
201408200340	交大	22.3	0	66	0	////	////	////	22.4	22.3	0	66
201408200350	交大	22.3	0	164	0	////	////	////	22.4	22.3	0	164
201408200400	交大	22.3	0	99	0	////	////	////	22.4	22.3	0	99
201408200410	交大	22.3	0.4	52	0.8	////	////	////	22.3	22.3	1.7	71
201408200420	交大	22.3	0.4	71	0.4	////	////	////	22.3	22.3	1.7	71
201408200430	交大	22.3	0.4	18	0.5	////	////	////	22.3	22.3	1.7	71
201408200440	交大	22.3	0.5	57	0.4	////	////	////	22.3	22.3	1.7	71
201408200450	交大	22.3	0.5	57	0.7	////	////	////	22.3	22.2	1.7	71
201408200500	交大	22.3	0.5	57	0	////	////	////	22.3	22.2	1.7	71
201408200510	交大	22.3	0	358	0	////	////	////	22.3	22.3	1	29
201408200520	交大	22.3	0.2	35	0	////	////	////	22.3	22.3	1	29
201408200530	交大	22.3	0.4	125	0	////	////	////	22.3	22.3	1	29
201408200540	交大	22.3	0.6	12	0	////	////	////	22.3	22.3	1	29
201408200550	交大	22.3	0.9	336	0	////	////	////	22.3	22.3	1	29
201408200600	交大	22.4	1.4	63	0	////	////	////	22.4	22.3	1	29
201408200610	交大	22.5	0.8	83	0.8	////	////	////	22.5	22.4	1.5	91
201408200620	交大	22.5	2.1	63	1.5	////	////	////	22.5	22.4	1.8	60
201408200630	交大	22.5	3.9	66	1.3	////	////	////	22.5	22.4	2.5	46
201408200640	交大	22.5	5.1	63	2.1	////	////	////	22.5	22.4	3.8	49
201408200650	交大	22.5	6.6	88	2.9	////	////	////	22.5	22.4	4.7	57
201408200700	交大	22.5	7.7	66	1.2	////	////	////	22.5	22.4	4.7	57
201408200710	交大	22.5	0.4	83	1.6	////	////	////	22.5	22.5	4.2	38
201408200720	交大	22.6	0.7	66	1.2	////	////	////	22.6	22.5	4.2	38
201408200730	交大	22.6	1.3	23	0.8	////	////	////	22.6	22.5	4.2	38
201408200740	交大	22.7	3	113	1.4	////	////	////	22.7	22.5	4.2	38
201408200750	交大	22.6	6.5	355	0.8	////	////	////	22.7	22.5	4.2	38
201408200800	交大	22.7	8.7	66	0.3	////	////	////	22.7	22.5	4.2	38
201408200810	交大	22.7	1.6	21	1.6	////	////	////	22.7	22.7	3.8	38
201408200820	交大	22.6	2.8	15	2.3	////	////	////	22.7	22.6	4	23
201408200830	交大	22.4	4	18	2.2	////	////	////	22.7	22.4	4.5	32
201408200840	交大	22.3	4.7	46	0.3	////	////	////	22.7	22.3	4.5	32
201408200850	交大	22.3	5.6	12	2	////	////	////	22.7	22.3	4.5	32
201408200900	交大	22.5	6.8	63	2.9	////	////	////	22.7	22.3	4.5	32
201408200910	交大	22.6	0.8	15	2	////	////	////	22.6	22.5	3.8	46
201408200920	交大	22.6	1.7	52	3	////	////	////	22.6	22.5	4.5	52
201408200930	交大	22.6	2.6	60	3.1	////	////	////	22.6	22.5	4.6	32
201408200940	交大	22.6	3.6	49	2.5	////	////	////	22.7	22.5	4.7	54
201408200950	交大	22.6	5.8	60	2.4	////	////	////	22.7	22.5	5.7	66
201408201000	交大	22.7	7.1	38	2.2	////	////	////	22.7	22.5	5.7	66
201408201010	交大	22.7	2.2	74	1.2	////	////	////	22.8	22.7	5.3	66
201408201020	交大	22.8	4.3	52	2.7	////	////	////	22.9	22.7	5.3	66
201408201030	交大	22.8	5.7	12	2.3	////	////	////	22.9	22.7	5.3	66
201408201040	交大	22.9	6.4	38	2.4	////	////	////	22.9	22.7	5.5	38
201408201050	交大	22.9	7.2	26	2	////	////	////	22.9	22.7	5.5	38
201408201100	交大	22.9	8.2	83	1.6	////	////	////	23	22.7	5.6	66
201408201110	交大	22.9	1.8	9	0.5	////	////	////	23	22.9	4.6	54
201408201120	交大	22.8	4.3	52	2.2	////	////	////	23	22.8	7.7	57
201408201130	交大	22.9	6.1	26	2.5	////	////	////	23	22.8	7.7	57
201408201140	交大	22.9	7.6	60	1.1	////	////	////	23	22.8	7.7	57
201408201150	交大	22.9	9.2	57	0.8	////	////	////	23	22.8	7.7	57
201408201200	交大	22.9	11.1	32	0.9	////	////	////	23	22.8	7.7	57
201408201210	交大	23	1.4	355	2.3	////	////	////	23	22.9	2.8	4
201408201220	交大	23.1	2.7	347	2.6	////	////	////	23.1	22.9	3.9	333
201408201230	交大	23	3.6	358	1.4	////	////	////	23.1	22.9	4.1	21
201408201240	交大	23	4.7	57	1.7	////	////	////	23.1	22.9	4.1	21
201408201250	交大	23.1	6	12	0.5	////	////	////	23.1	22.9	4.1	21
201408201300	交大	23.1	7.1	12	0.8	////	////	////	23.2	22.9	4.1	21
201408201320	交大	23.4	1	341	0.5	////	////	////	23.4	23.1	2.4	1
201408201330	交大	23.5	1	29	1.4	////	////	////	23.5	23.1	2.9	74
201408201340	交大	23.6	1.1	29	0.5	////	////	////	23.6	23.1	2.9	74
201408201350	交大	23.6	1.3	12	0	////	////	////	23.7	23.1	2.9	344
201408201400	交大	23.6	1.5	15	0.7	////	////	////	23.7	23.1	2.9	344
201408201410	交大	23.7	0	358	0.7	////	////	////	23.7	23.5	4.2	12
201408201420	交大	24.1	0.1	358	1.7	////	////	////	24.1	23.5	4.2	12
201408201430	交大	24.3	0.1	23	2.5	////	////	////	24.3	23.5	4.2	12
201408201440	交大	23.8	0.1	29	1.8	////	////	////	24.4	23.5	4.2	12
201408201450	交大	23.6	0.1	353	0.8	////	////	////	24.4	23.5	4.2	12
201408201500	交大	23.5	0.2	74	0	////	////	////	24.4	23.5	4.3	23
201408201510	交大	23.4	0	279	1.1	////	////	////	23.5	23.4	4.3	302
201408201520	交大	23.1	0.1	310	3.5	////	////	////	23.5	23.1	4.3	302
201408201530	交大	23	0.7	333	3.3	////	////	////	23.5	23	4.5	310
201408201540	交大	23	0.7	319	2.5	////	////	////	23.5	22.9	4.5	310
